DATE,QBPQYNTIY
1984-01-01,20875.613
1984-04-01,23567.774
1984-07-01,22446.359
1984-10-01,24498.354
1985-01-01,24868.406
1985-04-01,26656.772
1985-07-01,27623.089
1985-10-01,29037.385
1986-01-01,28880.935
1986-04-01,29304.031
1986-07-01,29498.221
1986-10-01,30687.807
1987-01-01,30709.991
1987-04-01,31554.755
1987-07-01,31683.14
1987-10-01,32149.072
1988-01-01,31309.522
1988-04-01,32199.372
1988-07-01,33149.28
1988-10-01,36192.814
1989-01-01,34619.868
1989-04-01,34032.828
1989-07-01,33417.658
1989-10-01,34980.491
1990-01-01,34885.726
1990-04-01,35212.81
1990-07-01,35609.509
1990-10-01,36004.098
1991-01-01,36451.809
1991-04-01,37378.799
1991-07-01,38216.111
1991-10-01,38923.844
1992-01-01,40456.9
1992-04-01,41307.993
1992-07-01,42315.091
1992-10-01,43335.469
1993-01-01,42823.974
1993-04-01,43131.99
1993-07-01,43340.071
1993-10-01,43862.501
1994-01-01,43069.499
1994-04-01,44354.091
1994-07-01,45316.752
1994-10-01,45389.107
1995-01-01,45023.272
1995-04-01,45642.363
1995-07-01,46706.322
1995-10-01,47175.29
1996-01-01,47504.023
1996-04-01,48221.689
1996-07-01,49267.755
1996-10-01,49947.499
1997-01-01,50100.18
1997-04-01,51326.178
1997-07-01,52057.348
1997-10-01,52343.852
1998-01-01,52028.351
1998-04-01,53194.022
1998-07-01,53835.192
1998-10-01,54481.892
1999-01-01,55217.752
1999-04-01,55846.499
1999-07-01,57012.241
1999-10-01,56986.901
2000-01-01,58128.407
2000-04-01,59014.996
2000-07-01,59317.032
2000-10-01,59686.557
2001-01-01,60378.689
2001-04-01,62295.492
2001-07-01,63780.622
2001-10-01,67748.467
2002-01-01,69015.153
2002-04-01,69032.123
2002-07-01,69874.692
2002-10-01,70306.268
2003-01-01,69888.756
2003-04-01,70554.229
2003-07-01,70463.31
2003-10-01,72599.028
2004-01-01,73767.782
2004-04-01,75443.824
2004-07-01,77018.914
2004-10-01,78465.683
2005-01-01,78211.678
2005-04-01,79146.765
2005-07-01,80933.531
2005-10-01,80799.98
2006-01-01,83184.07
2006-04-01,85709.085
2006-07-01,85706.277
2006-10-01,82342.674
2007-01-01,86444.678
2007-04-01,88395.677
2007-07-01,90859.676
2007-10-01,92492.033
2008-01-01,94693.875
2008-04-01,96562.369
2008-07-01,95127.464
2008-10-01,96991.751
2009-01-01,99867.129
2009-04-01,99398.033
2009-07-01,99642.436
2009-10-01,100601.594
2010-01-01,109434.842
2010-04-01,107747.663
2010-07-01,107609.921
2010-10-01,106433.171
2011-01-01,106242.318
2011-04-01,105912.735
2011-07-01,105228.978
2011-10-01,107174.157
2012-01-01,106229.253
2012-04-01,105311.742
2012-07-01,105642.571
2012-10-01,104940.858
2013-01-01,103835.917
2013-04-01,103425.641
2013-07-01,104504.873
2013-10-01,106384.014
2014-01-01,104177.793
2014-04-01,105440.376
2014-07-01,106964.602
2014-10-01,107480.148
2015-01-01,105689.342
2015-04-01,108273.937
2015-07-01,108739.339
2015-10-01,110928.807
2016-01-01,112299.977
2016-04-01,113384.023
2016-07-01,118673.247
2016-10-01,119333.013
2017-01-01,121080.814
2017-04-01,123379.583
2017-07-01,127543.31
2017-10-01,129652.627
2018-01-01,131363.118
2018-04-01,134121.919
2018-07-01,137094.657
2018-10-01,140177.947
2019-01-01,139260.782
2019-04-01,139012.448
2019-07-01,138759.737
2019-10-01,136745.079
2020-01-01,137296.879
2020-04-01,131432.511
2020-07-01,128753.328
2020-10-01,131368.497
2021-01-01,129723.166
2021-04-01,129258.25
2021-07-01,134469.096
2021-10-01,137054.946
2022-01-01,138030.203
2022-04-01,151126.206
2022-07-01,168620.398
2022-10-01,180310.751
2023-01-01,175728.665
2023-04-01,174315.052
2023-07-01,175208.647
2023-10-01,174586.296
2024-01-01,171555.796
2024-04-01,171679.971
